Participant,uppercase value,maps to body part concept,maps to preservation type concept,in language,with n (Occurrences) =,,,,,,,,,,,,,,,,notes
Carla Cicero,B. K. SCHMIDT 105,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,B. K. SCHMIDT 1107,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,B. K. SCHMIDT 1108,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,B. K. SCHMIDT 1147,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,B. K. SCHMIDT 1255,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,B. K. SCHMIDT 1416,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,B. K. SCHMIDT 1508,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,B. K. SCHMIDT 833,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,B. K. SCHMIDT 843,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,"BLOOD (SLIDE SMEAR); SKIN, STUDY; TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); BLOOD (LYSIS BUFFER); TISSUE (RNALATER) SAMPLE",BLOOD | SKIN | TISSUE | TISSUE | TISSUE | TISSUE | TISSUE | TISSUE | BLOOD,SMEAR | BUFFER_RNALATER | BUFFER_RNALATER | BUFFER_RNALATER | BUFFER_RNALATER | BUFFER_RNALATER | BUFFER_RNALATER | BUFFER_LYSIS,,1,,,,,,,,,,,,,,,,"Ignored sample for now, looks like Arctos subsample for loan which shouldn't be published to data aggregators."
Carla Cicero,"BLOOD (SLIDE SMEAR); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); BLOOD (RNALATER); SKIN, STUDY; TISSUE (RNALATER) SAMPLE",BLOOD | TISSUE | TISSUE | TISSUE | TISSUE | BLOOD | SKIN,SMEAR | BUFFER_RNALATER | BUFFER_RNALATER | BUFFER_RNALATER | BUFFER_RNALATER | BUFFER_RNALATER | ROUND,,4,,,,,,,,,,,,,,,,"Ignored sample for now, looks like Arctos subsample for loan which shouldn't be published to data aggregators."
Carla Cicero,BONE,,,,261,,,,,,,,,,,,,,,,
Carla Cicero,BONE; MUSCLE (FROZEN),,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C SKEL - 1; STUDY - 1,SKELETON | SKIN,X | X,,19,,,,,,,,,,,,,,,,"Does ""C SKEL"" mean ""complete skeleton"" ?"
Carla Cicero,C SKEL - 1; STUDY - 1; WING - 1; TISSUE - 2,SKELETON | SKIN | WING | TISSUE,X | X | X | UNKNOWN,,35,,,,,,,,,,,,,,,,"Does ""C SKEL"" mean ""complete skeleton"" ?"
Carla Cicero,C. D. SPAW 4232,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 111,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 177,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 227,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 257,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 261,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 262,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 266,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 32,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 355,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 385,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 418,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 467,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 478,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 512,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 573,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 579,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 702,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 72,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 738,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 757,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 781,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 836,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 857,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. CRAIGHEAD 897,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,C. E. GRAY 09,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,CAST OF LEFT HUMERUS,HUMERUS,CAST,,1,,,,,,,,,,,,,,,,
Carla Cicero,CAST OF STONE FROM GIZZARD,,,,1,,,,,,,,,,,,,,,,
Carla Cicero,CLEARED & STAINED (EMBRYO 15 DAYS),WHOLE_BODY,CLEAR_AND_STAIN_GLYCERIN,,1,,,,,,,,,,,,,,,,
Carla Cicero,D. F. PARMELEE 221,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,D. PALMER,blank,,,3,,,,,,,,,,,,,,,,
Carla Cicero,D. R. PAULSON 1923,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,D. R. PAULSON 1938,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,D. R. PAULSON 1977,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,D. R. PAULSON 2064,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,D. R. PAULSON 2086,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,D. R. PAULSON 2156,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,D. TAKAHASHI 15,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,DIEPVRIESNUMMER:,,,,1,,,,,,,,,,,,,,,,
Carla Cicero,DNA (FROZEN); TOE PAD; STUDY SKIN,DNA | TOEPAD | SKIN,FROZEN | X | ROUND,,10,,,,,,,,,,,,,,,,"Assume that toe pad is dried (should be default), but should be confirmed."
Carla Cicero,E. C. BOOTH,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,E. E. CARDIFF 1349,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,E. J. BOOTH 517,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,E. J. BOOTH 749,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,E. MCMILLAN,blank,,,7,,,,,,,,,,,,,,,,
Carla Cicero,EGG - 1,EGG,X,,3,,,,,,,,,,,,,,,,
Carla Cicero,"EGG (1 CRACKED, 1 BROKEN)",EGG,X,,11,,,,,,,,,,,,,,,,
Carla Cicero,EGG (1 INTACT 3 CRACKED),EGG,X,,3,,,,,,,,,,,,,,,,
Carla Cicero,"EGG (1 REPAIRED, 3 INTACT)",EGG,X,,1,,,,,,,,,,,,,,,,
Carla Cicero,EGG (1: FRAGMENTS),EGG,X,,1,,,,,,,,,,,,,,,,
Carla Cicero,"EGG (2 INTACT, 2 WITH LARGE HOLE)",EGG,X,,1,,,,,,,,,,,,,,,,
Carla Cicero,"EGG (4 INTACT, 1 REPAIRED)",EGG,X,,1,,,,,,,,,,,,,,,,
Carla Cicero,"EGG (4 INTACT, 2 CRACKED)",EGG,X,,1,,,,,,,,,,,,,,,,
Carla Cicero,EGG (DEPOSITED AT NATIONAL ZOOLOGICAL COLLECTION OF SURINAME),EGG,X,,3,,,,,,,,,,,,,,,,
Carla Cicero,EGG (HOST: NO DATA),EGG,X,,1,,,,,,,,,,,,,,,,
Carla Cicero,"EGG (INTACT, INDIVIDUAL EGGS)",EGG,X,,1,,,,,,,,,,,,,,,,
Carla Cicero,"EGG (INTACT, MOLDY; 976 & 977 MISSING)",EGG,X,,1,,,,,,,,,,,,,,,,
Carla Cicero,"EGG (INTACT, VERY DUSTY)",EGG,X,,1,,,,,,,,,,,,,,,,
Carla Cicero,EGG (INTACT; HOST: SETOPHAGA PETECHIA),EGG,X,,6,,,,,,,,,,,,,,,,
Carla Cicero,EGG (INTACT; NOT A CLUTCH),EGG,X,,1,,,,,,,,,,,,,,,,
Carla Cicero,EGG (INTACT; NOT A SET),EGG,X,,1,,,,,,,,,,,,,,,,
Carla Cicero,EGG (ON LABEL),EGG,X,,1,,,,,,,,,,,,,,,,
Carla Cicero,EGG (OR CLUTCH),EGG,X,,3972,,,,,,,,,,,,,,,,
Carla Cicero,EGG (PARASITIZED BY MOLOTHRUS ATER YPM 142293),EGG,X,,1,,,,,,,,,,,,,,,,
Carla Cicero,EGG (SLIGHT DAMAGE),EGG,X,,1,,,,,,,,,,,,,,,,
Carla Cicero,EGG(S): CAST,EGG,CAST,,5,,,,,,,,,,,,,,,,
Carla Cicero,EGGSET; N; |SKIN; Y;,SKIN,X,,2,,,,,,,,,,,,,,,,
Carla Cicero,ESQUELET QUASI COMPLET,,,,5,,,,,,,,,,,,,,,,
Carla Cicero,"F. F. NYC, JR.",blank,,,3,,,,,,,,,,,,,,,,
Carla Cicero,"FEATHER,LEG",,,,1,,,,,,,,,,,,,,,,
Carla Cicero,FEATHER; TOEPAD; FLUID ALCOHOL; TISSUE,,,,3,,,,,,,,,,,,,,,,
Carla Cicero,FEATHER; Y; |SKEL; Y; |SKIN; Y; |WINGS_TAIL; Y; SPREAD WING AND ONE TAIL FEATHER;,FEATHER | SKELETON | SKIN | WING,X | X | X | X,,1,,,,,,,,,,,,,,,,
Carla Cicero,FEATHER; Y; 2 DORSAL FEATHERS; |SKIN; Y;,FEATHER | SKIN,X | X,,1,,,,,,,,,,,,,,,,
Carla Cicero,FEATHER; Y; 2 SLIDES- FRONTAL FEATHERS; |FLAT_SKIN; Y; HEAD/NECK PELT; |SKEL; Y;,,,,1,,,,,,,,,,,,,,,,
Carla Cicero,"FEATHER; Y; 3 WING PRIMARIES, 2 THUMB FEATHERS; |SKIN; Y;",FEATHER | SKIN,X | X,,1,,,,,,,,,,,,,,,,
Carla Cicero,FEATHER; Y; 7 FEATHERS; |SKIN; Y;,FEATHER | SKIN,X | X,,1,,,,,,,,,,,,,,,,
Carla Cicero,FEATHER; Y; BAG OF LOOSE FEATHERS; |SKEL; Y;,FEATHER | SKELETON,X | X,,2,,,,,,,,,,,,,,,,
Carla Cicero,FEATHER; Y; BAG OF LOOSE FEATHERS; |SKEL; Y; TRUNK; |SKIN; Y; |TISSUE; Y; M;,,,,1,,,,,,,,,,,,,,,,
Carla Cicero,FEATHER; Y; BROKEN PRIMARY; |SKIN; Y;,FEATHER | SKIN,X | X,,1,,,,,,,,,,,,,,,,
Carla Cicero,FEATHER; Y; BUNDLE OF PLUMES;,FEATHER,X,,2,,,,,,,,,,,,,,,,
Carla Cicero,"FEATHER; Y; FLANK FEATHERS, 1 SECONDARY; |GI TRACT; Y; GIZZARD IN ETOH; |SKEL; Y; PARTIAL SKELETON; |SKIN; Y; WITH RIGHT WING SPREAD; |SYRINX; Y; |TISSUE; Y; M, H, K, BRAIN;",FEATHER | GIZZARD | SKELETON_PARTIAL | SKIN | WING | SYRINX | MUSCLE | HEART | KIDNEY | BRAIN,X | ETHANOL | X | X | X | UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN,,1,,,,,,,,,,,,,,,,
Carla Cicero,"FEATHER; Y; TIP OF WING FEATHER, BROKEN; |SKIN; Y;",FEATHER | SKIN,X | X,,1,,,,,,,,,,,,,,,,
Carla Cicero,FEATHER; Y; WING FEATHER; |SKIN; Y;,FEATHER | SKIN,X | X,,1,,,,,,,,,,,,,,,,
Carla Cicero,FLAT SKIN W/O HEAD,SKIN_PARTIAL,FLAT,,1,,,,,,,,,,,,,,,,
Carla Cicero,"FLAT SKIN WITH COMPLETE SKELETON, TISSUE 8784",SKIN | SKELETON | TISSUE,FLAT | X | UNKNOWN,,1,,,,,,,,,,,,,,,,
Carla Cicero,FLAT_SKIN; EXCH; |SKEL; Y;,SKIN | SKELETON,FLAT | X,,1,,,,,,,,,,,,,,,,
Carla Cicero,FLAT_SKIN; N; PARTIAL PELT; |SKEL; Y; |TISSUE; U;,,,,1,,,,,,,,,,,,,,,,
Carla Cicero,FLAT_SKIN; Y; |FLUID; Y; ENTIRE BODY IN ALCOHOL;,SKIN | WHOLE_BODY,FLAT | ETHANOL,,1,,,,,,,,,,,,,,,,
Carla Cicero,FLAT_SKIN; Y; |SKEL; EXCH; SKEL EXCHANGED TO CSIRO: AUSTRALIA 19 SEPT 1986,SKIN | SKELETON,FLAT | X,,4,,,,,,,,,,,,,,,,
Carla Cicero,FLAT_SKIN; Y; |SKEL; Y; |SYRINX; Y; |WINGS_TAIL; Y;,,,,4,,,,,,,,,,,,,,,,
Carla Cicero,FLAT_SKIN; Y; |SKEL; Y; |TISSUE; Y; M; |WINGS_TAIL; Y; WING;,SKIN | SKELETON | MUSCLE | WING,FLAT | X | UNKNOWN | X,,1,,,,,,,,,,,,,,,,
Carla Cicero,FLUID - ; SYRINX REMOVED,WHOLE_BODY | SYRINX,FLUID | UNKNOWN,,17,,,,,,,,,,,,,,,,
Carla Cicero,FLUID - TRUNK ONLY,TRUNK,FLUID,,2,,,,,,,,,,,,,,,,
Carla Cicero,FLUID POST-CRAN IN ETOH; SKIN STUDY; TOEPAD; FEATHER,TRUNK | SKIN | TOEPAD | FEATHER,ETHANOL | X | X | X,,83,,,,,,,,,,,,,,,,"Assume that toe pad and feather is dried (should be default), but should be confirmed"
Carla Cicero,FLUID POST-CRAN IN ETOH; TISSUE; FLUID STOMACH IN ALC; SKIN STUDY; TOEPAD; FEATHER,,,,2,,,,,,,,,,,,,,,,
Carla Cicero,FLUID POST-CRAN IN ETOH; TOEPAD; FEATHER,,,,1,,,,,,,,,,,,,,,,
Carla Cicero,FLUID; Y; |GENBANK; Y; AY216852 MTDNA CYTB (PARTIAL CDS); |SKEL; Y; |SKIN; N; PARTIAL SKIN; |SYRINX; Y; |WINGS_TAIL; Y; WING;,,,,1,,,,,,,,,,,,,,,,
Carla Cicero,FLUID; Y; TRACHEA ONLY.;,TRACHEA,FLUID,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. ALCORN & S. MCMAHON,blank,,,10,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 1007,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 1020,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 1044,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 1505,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 1555,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 1572,blank,,,2,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 1591,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 1653,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 1672,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 1683,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 1746,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 1783,blank,,,2,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 1857,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 1866,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 1903,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 1909,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 1978,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2068,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2072,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2085,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2211,blank,,,2,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2222,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2228,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2289,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2306,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2410,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2416,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2454,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2500,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2511,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2556,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2565,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2567,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2583,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2591,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2605,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2678,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2728,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2747,blank,,,2,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2758,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2794,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2798,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2861,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2864,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2909,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2915,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2943,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 2997,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3041,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3059,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3062,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3073,blank,,,3,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3081,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3107,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3216,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3234,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3251,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3261,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3290,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3352,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3395,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3544,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3553,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3564,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3567,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3748,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. W. SHUGART 3954,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,G. WELLS,blank,,,2,,,,,,,,,,,,,,,,
Carla Cicero,GENBANK; Y; AY216836 (MTDNA): CYTB (PARTIAL CDS); |SKEL; Y;,,,,1,,,,,,,,,,,,,,,,
Carla Cicero,GENBANK; Y; AY216853 MTDNA CYTB (PARTIAL CDS); |SKIN; Y; |TISSUE; Y;,SKIN | TISSUE,X | UNKNOWN,,1,,,,,,,,,,,,,,,,
Carla Cicero,"GENBANK; Y; AY323542 (MTDNA): MULTIPLE GENES; AY323542 (MTDNA): ND2 (PARTIAL CDS), TRNA-TRP (PARTIAL)|GENBANK; Y; AY324244 (MTDNA): MULTIPLE GENES; AY324244 (MTDNA): ND6 (PARTIAL CDS), TRNA-GLU, CONTROL REGION (PARTIAL)|SKIN; Y; |TISSUE; Y; TISSUES IN LN2 AND EDTA;",SKIN | TISSUE | TISSUE,,,1,,,,,,,,,,,,,,,,
Carla Cicero,"GENBANK; Y; AY865450 (MTDNA): MULTIPLE GENES; AY865450 (MTDNA): ND6 (PARTIAL CDS), TRNA-GLU, CONTROL REGION (PARTIAL)|SKIN; Y;",,,,1,,,,,,,,,,,,,,,,
Carla Cicero,"GI TRACT; Y; GIZZARD IN ETOH; |SKEL; Y; |TISSUE; Y; H, M; |WINGS_TAIL; Y; L SPREAD WING;",INTESTINE | GIZZARD | SKELETON | HEART | MUSCLE | WING,UNKNOWN | ETHANOL | X | UNKNOWN | UNKNOWN | X,,2,,,,,,,,,,,,,,,,
Carla Cicero,"GI TRACT; Y; GIZZARD IN ETOH; |SKEL; Y; |TISSUE; Y; M, H;",INTESTINE | GIZZARD | SKELETON | MUSCLE | HEART,UNKNOWN | ETHANOL | X | UNKNOWN | UNKNOWN,,1,,,,,,,,,,,,,,,,
Carla Cicero,GI TRACT; Y; STOMACH IN ETOH; |SKIN; Y; |TISSUE; Y; |WINGS_TAIL; Y; SPTREAD WING;,INTESTINE | STOMACH | SKIN | TISSUE | WING,UNKNOWN | ETHANOL | X | UNKNOWN | X,,1,,,,,,,,,,,,,,,,
Carla Cicero,HEAD ONLY,HEAD,UNKNOWN,,2,,,,,,,,,,,,,,,,
Carla Cicero,"HEART, KIDNEY (FROZEN); SKIN, STUDY; SKELETON, PARTIAL; MUSCLE (FROZEN); LIVER (FROZEN); MUSCLE (FROZEN) SAMPLE; MUSCLE (FROZEN) SAMPLE",HEART | KIDNEY | SKIN | SKELETON_PARTIAL | MUSCLE | LIVER,FROZEN | FROZEN | X| X| FROZEN | FROZEN |,,1,,,,,,,,,,,,,,,,"Ignored sample for now, looks like Arctos subsample for loan which shouldn't be published to data aggregators."
Carla Cicero,"HEART, KIDNEY (FROZEN); SKIN, STUDY; SKELETON, POSTCRANIAL; LIVER (FROZEN); HEART, KIDNEY (FROZEN) SAMPLE",HEART | KIDNEY | SKIN | SKELETON_PARTIAL | LIVER,FROZEN | FROZEN | ROUND | X | FROZEN,,1,,,,,,,,,,,,,,,,"Ignored sample for now, looks like Arctos subsample for loan which shouldn't be published to data aggregators."
Carla Cicero,"HEART, KIDNEY (FROZEN); WHOLE ORGANISM (ETHANOL); MUSCLE (FROZEN); LIVER (FROZEN)",HEART | KIDNEY | WHOLE_BODY | MUSCLE | LIVER,FROZEN | FROZEN | ETHANOL | FROZEN | FROZEN,,1,,,,,,,,,,,,,,,,
Carla Cicero,"HEART, KIDNEY, MUSCLE (FROZEN); LIVER (FROZEN); WHOLE ORGANISM (ETHANOL); HEART, KIDNEY, MUSCLE (FROZEN) SAMPLE",HEART | KIDNEY | MUSCLE | LIVER | WHOLE_BODY,FROZEN | FROZEN | FROZEN | FROZEN | ETHANOL,,1,,,,,,,,,,,,,,,,"Ignored sample for now, looks like Arctos subsample for loan which shouldn't be published to data aggregators."
Carla Cicero,"HEART, LIVER, MUSCLE",,,,53,,,,,,,,,,,,,,,,
Carla Cicero,"HEART, LIVER, MUSCLE (FROZEN); LUNG (FROZEN); WING, SPREAD (DRY); EYE (FROZEN); KIDNEY (FROZEN); LIVER (FROZEN)",HEART | LIVER | MUSCLE | LUNG | WING | EYE | KIDNEY | LIVER,FROZEN | FROZEN | FROZEN | FROZEN | X | FROZEN | FROZEN | FROZEN,,1,,,,,,,,,,,,,,,,
Carla Cicero,INNOMINATE? FRAGMENT,,,,1,,,,,,,,,,,,,,,,
Carla Cicero,J. A. EDWARDS,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,J. B. JACKSON,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,J. HEALEY 004,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,J. M. EDSON 656,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,JAW (MIDDLE PREMAXILLARY PROCESS),SKULL_PARTIAL,X,,1,,,,,,,,,,,,,,,,
Carla Cicero,JAWS (UPPER + LOWER) + PALATINE + METATARSI,SKULL_PARTIAL,X,,1,,,,,,,,,,,,,,,,
Carla Cicero,"KIDNEY, MUSCLE (FROZEN); WING; SKELETON; LIVER (FROZEN)",KIDNEY | MUSCLE | WING | SKELETON | LIVER,FROZEN | FROZEN | X | X | FROZEN,,1,,,,,,,,,,,,,,,,
Carla Cicero,L. MAGNUSSON,blank,,,1,,,,,,,,,,,,,,,,
Carla Cicero,LEGS AND FEET | NO TREATMENT,LEG | FOOT,X | X,,1,,,,,,,,,,,,,,,,
Carla Cicero,"LIVER (FROZEN); HEART, KIDNEY (FROZEN); STOMACH CONTENT (ETHANOL); SKIN, STUDY; MUSCLE (FROZEN); SKELETON",LIVER | HEART | KIDNEY | STOMACH_CONTENT | SKIN | MUSCLE | SKELETON,FROZEN | FROZEN | FROZEN | ETHANOL | X | FROZEN | X,,1,,,,,,,,,,,,,,,,
Carla Cicero,"LIVER (FROZEN); HEART, KIDNEY, MUSCLE (FROZEN)",LIVER | HEART | KIDNEY | MUSCLE,FROZEN | FROZEN | FROZEN | FROZEN,,25,,,,,,,,,,,,,,,,
Carla Cicero,"LIVER (FROZEN); HEART, KIDNEY, MUSCLE (FROZEN); WING; SKELETON, PARTIAL",LIVER | HEART |  KIDNEY | MUSCLE | WING | SKELETON_PARTIAL,FROZEN | FROZEN | FROZEN | FROZEN | X | X,,105,,,,,,,,,,,,,,,,
Carla Cicero,"LIVER (FROZEN); HEART, KIDNEY, MUSCLE (FROZEN); WING; SKELETON, PARTIAL; ECTOPARASITE (ETHANOL); ENDOPARASITE (ETHANOL)",LIVER | HEART |  KIDNEY | MUSCLE | WING | SKELETON_PARTIAL | ECTOPARASITE | ENDOPARASITE,FROZEN | FROZEN | FROZEN | FROZEN | X | X | ETHANOL | ETHANOL,,1,,,,,,,,,,,,,,,,
Carla Cicero,"LIVER (FROZEN); SKELETON, PARTIAL; MUSCLE (FROZEN); SKIN, STUDY; HEART, KIDNEY (FROZEN)",LIVER | SKELETON_PARTIAL | MUSCLE | SKIN | HEART | KIDNEY,FROZEN | X | FROZEN | ROUND | FROZEN | FROZEN,,10,,,,,,,,,,,,,,,,
